,testado
90,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'convenio', 'específico', 'o', 'contrato', ' ', 'Objeto', 'del', 'convenio', 'específico', 'o', 'contrato', ' ', 'plazo', 'de', 'ejecución', ' ', 'vigencia', ' ', 'monto', 'económico', 'asignado', ' ', '(', 'de', 'haber', 'sido', 'modificado', 'en', 'su', 'vigencia', ' ', 'plazo', 'de', 'ejecución', 'o', 'monto', 'económico', 'especificarlo', ')', ' ', 'nombre', 'del', 'responsable', 'o', 'representante', 'de', 'cada', 'una', 'de', 'las', 'partes', ' ', 'y', 'fecha', 'de', 'firma', 'de', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', 'vigentes', 'y', 'concluidos', ' ', 'firmados', 'con', 'la', '####', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', '2011', '.']"
91,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'convenio', 'específico', 'o', 'contrato', ' ', 'Objeto', 'del', 'convenio', 'específico', 'o', 'contrato', ' ', 'plazo', 'de', 'ejecución', ' ', 'vigencia', ' ', 'monto', 'económico', 'asignado', ' ', '(', 'de', 'haber', 'sido', 'modificado', 'en', 'su', 'vigencia', ' ', 'plazo', 'de', 'ejecución', 'o', 'monto', 'económico', 'especificarlo', ')', ' ', 'nombre', 'del', 'responsable', 'o', 'representante', 'de', 'cada', 'una', 'de', 'las', 'partes', ' ', 'y', 'fecha', 'de', 'firma', 'de', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', 'vigentes', 'y', 'concluidos', ' ', 'firmados', 'con', 'la', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
92,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'convenio', 'específico', 'o', 'contrato', ' ', 'Objeto', 'del', 'convenio', 'específico', 'o', 'contrato', ' ', 'plazo', 'de', 'ejecución', ' ', 'vigencia', ' ', 'monto', 'económico', 'asignado', ' ', '(', 'de', 'haber', 'sido', 'modificado', 'en', 'su', 'vigencia', ' ', 'plazo', 'de', 'ejecución', 'o', 'monto', 'económico', 'especificarlo', ')', ' ', 'nombre', 'del', 'responsable', 'o', 'representante', 'de', 'cada', 'una', 'de', 'las', 'partes', ' ', 'y', 'fecha', 'de', 'firma', 'de', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', 'vigentes', 'y', 'concluidos', ' ', 'firmados', 'con', 'el', '####', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
93,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'convenio', 'específico', 'o', 'contrato', ' ', 'Objeto', 'del', 'convenio', 'específico', 'o', 'contrato', ' ', 'plazo', 'de', 'ejecución', ' ', 'vigencia', ' ', 'monto', 'económico', 'asignado', ' ', '(', 'de', 'haber', 'sido', 'modificado', 'en', 'su', 'vigencia', ' ', 'plazo', 'de', 'ejecución', 'o', 'monto', 'económico', 'especificarlo', ')', ' ', 'nombre', 'del', 'responsable', 'o', 'representante', 'de', 'cada', 'una', 'de', 'las', 'partes', ' ', 'y', 'fecha', 'de', 'firma', 'de', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', 'vigentes', 'y', 'concluidos', ' ', 'firmados', 'con', 'el', '####', '####', '####', 'de', '####', 'la', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
94,"['Requiero', 'el', 'costo', 'de', 'la', 'realización', 'del', 'evento', ' ', '####', '####', 'de', 'la', '####', '####', '####', 'del', '####', '  ', 'el', 'costo', 'deberá', 'estar', 'desglosado', 'por', 'conceptos', 'de', ':', 'Logistica', ' ', 'cronometraje', ' ', 'premiación', ' ', 'publicidad', ' ', 'permisos', 'y', 'avales', ' ', 'patrocinios', 'otorgados', 'por', 'empresas', ' ', 'viáticos', 'asignados', '.', 'Conocer', 'el', 'número', 'total', 'de', 'participantes', 'en', 'el', 'evento', ' ', 'así', 'como', 'los', 'resultados', 'obtenidos', 'en', 'general', 'en', 'la', 'realización', 'del', 'evento', 'deportivo', 'mencionado', '.', ' ', 'Así', 'como', 'también', '¿', 'qué', 'empresas', 'ofrecieron', 'dichos', 'servicios', 'y', 'cuál', 'es', 'el', 'costo', 'de', 'cada', 'uno', 'de', 'ellos', '?']"
95,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'convenio', 'específico', 'o', 'contrato', ' ', 'Objeto', 'del', 'convenio', 'específico', 'o', 'contrato', ' ', 'plazo', 'de', 'ejecución', ' ', 'vigencia', ' ', 'monto', 'económico', 'asignado', ' ', '(', 'de', 'haber', 'sido', 'modificado', 'en', 'su', 'vigencia', ' ', 'plazo', 'de', 'ejecución', 'o', 'monto', 'económico', 'especificarlo', ')', ' ', 'nombre', 'del', 'responsable', 'o', 'representante', 'de', 'cada', 'una', 'de', 'las', 'partes', ' ', 'y', 'fecha', 'de', 'firma', 'de', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', 'vigentes', 'y', 'concluidos', ' ', 'firmados', 'con', 'el', '####', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
96,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'convenio', 'específico', 'o', 'contrato', ' ', 'Objeto', 'del', 'convenio', 'específico', 'o', 'contrato', ' ', 'plazo', 'de', 'ejecución', ' ', 'vigencia', ' ', 'monto', 'económico', 'asignado', ' ', '(', 'de', 'haber', 'sido', 'modificado', 'en', 'su', 'vigencia', ' ', 'plazo', 'de', 'ejecución', 'o', 'monto', 'económico', 'especificarlo', ')', ' ', 'nombre', 'del', 'responsable', 'o', 'representante', 'de', 'cada', 'una', 'de', 'las', 'partes', ' ', 'y', 'fecha', 'de', 'firma', 'de', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', 'vigentes', 'y', 'concluidos', ' ', 'firmados', 'con', 'el', '####', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
97,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'convenio', 'específico', 'o', 'contrato', ' ', 'Objeto', 'del', 'convenio', 'específico', 'o', 'contrato', ' ', 'plazo', 'de', 'ejecución', ' ', 'vigencia', ' ', 'monto', 'económico', 'asignado', ' ', '(', 'de', 'haber', 'sido', 'modificado', 'en', 'su', 'vigencia', ' ', 'plazo', 'de', 'ejecución', 'o', 'monto', 'económico', 'especificarlo', ')', ' ', 'nombre', 'del', 'responsable', 'o', 'representante', 'de', 'cada', 'una', 'de', 'las', 'partes', ' ', 'y', 'fecha', 'de', 'firma', 'de', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', 'vigentes', 'y', 'concluidos', ' ', 'firmados', 'con', 'el', '####', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
98,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'convenio', 'específico', 'o', 'contrato', ' ', 'Objeto', 'del', 'convenio', 'específico', 'o', 'contrato', ' ', 'plazo', 'de', 'ejecución', ' ', 'vigencia', ' ', 'monto', 'económico', 'asignado', ' ', '(', 'de', 'haber', 'sido', 'modificado', 'en', 'su', 'vigencia', ' ', 'plazo', 'de', 'ejecución', 'o', 'monto', 'económico', 'especificarlo', ')', ' ', 'nombre', 'del', 'responsable', 'o', 'representante', 'de', 'cada', 'una', 'de', 'las', 'partes', ' ', 'y', 'fecha', 'de', 'firma', 'de', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', 'vigentes', 'y', 'concluidos', ' ', 'firmados', 'con', 'la', '####', '####', 'del', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
99,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'detallada', 'de', 'todas', 'las', 'inversiones', 'realizadas', 'del', '1', 'de', 'enero', 'al', '31', 'de', 'diciembre', 'de', '2011', ' ', 'proporcionando', 'el', 'nombre', 'del', 'contratista', 'o', 'proveedor', ' ', 'descripción', 'de', 'la', 'obra', 'o', 'servicio', ' ', 'número', 'de', 'contrato', ' ', 'fecha', 'de', 'formalización', ' ', 'procedimiento', 'de', 'contratación', ' ', 'monto', 'del', 'contrato', 'y', 'domicilio', 'fiscal', ' ', 'de', 'todas', 'las', 'empresas', 'y', 'personas', 'físicas', 'contratadas', 'con', 'domicilio', 'fiscal', 'en', 'el', 'estado', 'de', '####', ' ', 'contratadas', 'del', '1', 'de', 'enero', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
