,testado
80,"['Solicito', 'atentamente', 'me', 'proporcionen', 'copia', 'de', 'todos', 'los', 'convenios', 'específicos', 'o', 'contratos', ' ', 'firmados', 'con', 'cada', 'una', 'de', 'las', 'instituciones', 'de', 'educación', 'superior', 'en', 'el', 'estado', 'de', '####', ' ', 'del', '1', 'de', 'julio', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
81,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'de', 'montos', 'económicos', 'mensuales', 'pagados', 'por', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', ' ', 'concluidos', 'y', 'vigentes', ' ', 'pagados', 'a', 'la', '####', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
82,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'montos', 'económicos', 'mensuales', 'pagados', 'por', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', ' ', 'concluidos', 'y', 'vigentes', ' ', 'pagados', 'a', 'la', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
83,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'montos', 'económicos', 'mensuales', 'pagados', 'por', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', ' ', 'concluidos', 'y', 'vigentes', ' ', 'pagados', 'al', '####', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
84,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'montos', 'económicos', 'mensuales', 'pagados', 'por', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', ' ', 'concluidos', 'y', 'vigentes', ' ', 'pagados', 'al', '####', '####', '####', 'de', '####', 'la', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
85,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'montos', 'económicos', 'mensuales', 'pagados', 'por', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', ' ', 'concluidos', 'y', 'vigentes', ' ', 'pagados', 'al', '####', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
86,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'montos', 'económicos', 'mensuales', 'pagados', 'por', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', ' ', 'concluidos', 'y', 'vigentes', ' ', 'pagados', 'al', '####', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
87,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'montos', 'económicos', 'mensuales', 'pagados', 'por', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', ' ', 'concluidos', 'y', 'vigentes', ' ', 'pagados', 'al', '####', '####', '####', 'de', 'la', '####', 'de', 'la', '####', ' ', 'del', '1', 'agosto', ' ', 'al', '31', 'de', 'diciembre', 'de', '2011', '.']"
88,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'monto', 'económico', 'mensual', 'pagado', 'por', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', ' ', 'concluidos', 'y', 'vigentes', ' ', 'pagados', 'a', 'la', '####', '####', 'del', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', '2011', '.']"
89,"['Solicito', 'atentamente', 'me', 'proporcionen', 'la', 'siguiente', 'información', ':', 'relación', 'desglosada', 'por', 'número', 'de', 'convenio', 'específico', 'o', 'contrato', ' ', 'Objeto', 'del', 'convenio', 'específico', 'o', 'contrato', ' ', 'plazo', 'de', 'ejecución', ' ', 'vigencia', ' ', 'monto', 'económico', 'asignado', ' ', '(', 'de', 'haber', 'sido', 'modificado', 'en', 'su', 'vigencia', ' ', 'plazo', 'de', 'ejecución', 'o', 'monto', 'económico', 'especificarlo', ')', ' ', 'nombre', 'del', 'responsable', 'o', 'representante', 'de', 'cada', 'una', 'de', 'las', 'partes', ' ', 'y', 'fecha', 'de', 'firma', 'de', 'cada', 'uno', 'de', 'los', 'convenios', 'específicos', 'y', 'contratos', 'vigentes', 'y', 'concluidos', ' ', 'firmados', 'con', 'la', '####', '####', '####', 'de', '####', ' ', 'del', '1', 'de', 'agosto', 'al', '31', 'de', '2011', '.']"
