,Siglas,Nombre_Completo
87,Somos un Centro comprometido en contribuir al bienestar social con la...,CIESAS
88,Centro de Investigaciones y Estudios Superiores en Antropología Social,CIJ
89,Institucion que proporciona servicios de prevencion y tratamiento para...,CIMAT
90,"Centro perteneciente a CONACYT, dedicado a actividades de Investigación en...",CIMAV
91,CINETECA NACIONAL,"Rescatar, preservar, conservar, incrementar y catalogar los acervos fílmico,..."
92,CINVESTAV,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico...
93,CIO,El CIO desarrolla investigación básica y aplicada que contribuye a la...
94,CIQA,CJF
95,CMM,"Casa de Moneda de México acuña y comercializa monedas y medallas, a través de..."
96,CNBBBJ,Coordinación Nacional de Becas para el Bienestar Benito Juárez
97,CNBV,Comisión Nacional Bancaria y de Valores
98,CNEGSR,Centro Nacional de Equidad de Género y Salud Reproductiva
99,CNH,CNSF
100,Comisión Nacional de Seguros y Fianzas,CNTS
101,Centro Nacional de la Transfusión Sanguínea ,COFAA
102,COFEPRIS,COLEF
103,Centro público de investigación CONACYT,COLEF
104,El Colegio de la Frontera Norte,COLMICH
105,Colegio de Michoacan,COLPOS
106,COLSAN,"EL COLEGIO DE SAN LUIS, AC"
107,COMIMSA,CONABIO
108,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad,CONACYT
109,Hacer del conocimiento y la innovación una palanca fundamental para el...,CONADE
110,Comisión Nacional de Cultura Física y Deporte ,CONADESUCA
111,"El CONADESUCA es una entidad que coordina acciones de vinculación, promoción,...",CONADIC
112,CONADIS,El Consejo Nacional para el Desarrollo y la Inclusión de las Personas con...
113,CONAFE,Consejo Nacional de Fomento Educativo
114,CONAFOR,Comisión Nacional Forestaal
115,CONAGUA,Comisión Nacional del Agua.
116,CONALEP,CONALITEG
117,Es el organismo público descentralizado de la Administración Pública Federal...,CONAMED
118,"Conamed se creó, entre otros aspectos, para que los usuarios de los servicios...",CONAMER
119,Comisión Nacional de Mejora Regulatoria,CONAMPROS
120,CONANP,Mantener la representatividad de los ecosistemas de México y su...
121,CONAPESCA,CONAPESCA es un órgano desconcentrado de la SAGARPA comprometido con la...
122,CONAPO,La misión del Consejo Nacional de Población es la planeación demográfica del...
123,CONAPRED,CONASAMI
124,La figura del salario mínimo se establece con la promulgación de la...,CONAVI
125,Comisión Nacional de Vivienda,CONAZA
126,CONBIOETICA,Comisión Nacional de Bioética
127,CONDUSEF,Comisión Nacional para la Protección y Defensa de los Usuarios de Servicios...
128,CONEVAL,El Consejo Nacional de Evaluación de la Política de Desarrollo Social...
129,CONOCER,CONSAR
130,"Responsable de la coordinación, regulación, supervisión y vigilancia de los...",Contrataciones Abiertas
131,CONUEE,órgano técnico en materia de aprovechamiento sustentable de la energía
132,CORETT,Comisión para la Regularización de la Tenencia de la Tierra
133,Correos de México,Correos de México
134,CRAE,CRE
135,La Comisión Reguladora de Energía es el Órgano Regulador Coordinado en...,CSAEGRO
136,CULTURA,Secretaría de Cultura
137,DICONSA,Somos la red de abasto social más grande del país. Nos movemos para...
138,ECH,"Estudios Churubusco Azteca, S.A"
139,Economía,Secretaría de Economía
140,Economía,Nuestra visión es ser una dependencia que contribuya de manera decisiva a...
141,ECOSUR,El Colegio de la Frontera Sur
142,EDUCAL,EDUCAL S.A. de C.V.
143,ELCCC,Centro de Capacitación Cinematográfica A. C.
144,Estado de Baja California,Estado de Baja California Sur
145,Gobierno Estatal del Estado de Baja California Sur ,Estado de Chihuahua
146,Gobierno Estatal del Estado de Chihuahua,Estado de Coahuila
147,Estado de Colima,Gobierno del Estado de Colima
148,Estado de Guanajuato,Gobierno Estatal del Estado de Guanajuato
149,Estado de Hidalgo,Gobierno Estatal del Estado de Hidalgo
150,Estado de Jalisco,Estado de México
151,Gobierno del Estado de México,Estado de Morelos
152,"Secretaría de Innovación, Ciencia y Tecnología",Estado de Oaxaca
153,Gobierno Estatal del Estado de Oaxaca,Estado de Puebla
154,Estado de Queretaro,Gobierno Estatal del Estado de Queretaro
155,Estado de San Luis Potosí,Gobierno Estatal del Estado de San Luís Potosí
156,Estado de Sonora,Gobierno del Estado de Sonora
157,Estado de Tamaulipas,Gobierno Estatal del Estado de Tamaulipas
158,Estado de Veracruz,Estado de Zacatecas
159,Gobierno del Estado de Zacatecas,FIDENA
160,Fideicomiso de Formación y Capacitación para el Personal de la Marina...,FIFOMI
161,Fideicomiso de Fomento Minero,FIFONAFE
162,FIRA,FIRCO
163,Fideicomiso de Riesgo Compartido,FND
164,"Financiera Nacional de Desarrollo Agropecuario, Rural, Forestal y Pesquero",FOCIR
165,FONACOT,FONART
166,FONATUR-INFRA,Fonatur Infraestructura
167,Fondo de Cultura Económica,Fondo de Cultura Económica 
168,FONHAPO,Fuerza México
169,GACM,Grupo Aeroportuario de la Ciudad de México
170,HGGEA,HGM
171,"HOSPITAL GENERAL DE MÉXICO, O.D",HIMFG
172,"Proporcionar atención médica de alta especialidad en la prevención,...",HJM
173,HRAEB,Hospital Regional de Alta Especialidad del Bajío
174,HRAEI,Hospital Regional de Alta Especialidad de Ixtapaluca
175,HRAEO,Hospital Regional de Alta Especialidad de Oaxaca
176,HRAEPY,Hospital Regional de Alta Especialidad de la Península de Yucatán
177,hraev,Hospital Regional de Alta Especialidad de Ciudad Victoria
178,IEPSA,"Empresa mexicana, de participación estatal mayoritaria, con personalidad..."
179,IFT,El Instituto Federal de Telecomunicaciones es un órgano autónomo. Su objetivo...
180,IMCINE,Instituto Mexicano de Cinematografía
181,IMER,"El Instituto Mexicano de la Radio, es un organismo público descentralizado..."
182,IMJUVE,IMP
183,Institución nacional productiva de excelencia que provee soluciones valiosas...,IMPI
184,IMSS,"El IMSS, es la institución con mayor presencia en la atención a la salud y en..."
185,IMT,Instituto Mexicano del Transporte
186,IMTA,INACIPE
187,Instituto Nacional de Ciencias Penales,INAES
188,INAH,Instituto Nacional de Antropología e Historia
189,INAI,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de..."
190,INALI,"Promover el fortalecimiento, preservación y desarrollo de las lenguas..."
191,INAMI,Instituto Nacional de Migración
192,INAOE,"Instituto Nacional de Astrofísica, Óptica y Electrónica"
193,INAPAM,Organismo público rector de la política  nacional a favor de las personas...
194,INAPESCA,INBA
195,INC,INCA
196,"Instituto Nacional para el Desarrollo de Capacidades del Sector Rural, A.C.",INCAN
197,"Organismo descentralizado de tercer nivel, dependiente de la Secretaría de...",INCICH
198,Instituto Nacional de Cardiología Ignacio Chávez ,INCMNSZ
199,Instituto Nacional de Ciencias Médicas y Nutrición,INDAABIN
200,El Instituto de Administración y Avalúos de Bienes Nacionales es un organismo...,INDAUTOR
201,Instituto Nacional del Derecho de Autor,INDEP
202,El Instituto para Devolver al Pueblo lo Robado (INDEP) es un Organismo...,INDESOL
203,INEA,Tiene por objeto promover y realizar acciones para organizar e impartir la...
204,INECC,"El Instituto Nacional de Ecología y Cambio Climático (INECC), pone a..."
205,INECOL,INEEL
206,Instituto Nacional de Electricidad y Energías Limpias,INEGI
207,Instituto Nacional de Estadística y Geografía,INEHRM
208,Instituto Nacional de Estudios Históricos de las Revoluciones de México,INER
209,Instituto Nacional de Enfermedades Respiratorias,INFOTEC
210,Centro público de investigación y desarrollo tecnológico adscrito al Consejo...,ING
211,Instituto Nacional de Geriatría,INIFAP
212,Instituto Nacional de Investigaciones Forestales y Pecuarias,INIFED
213,Instituto Nacional de la Infraestructura Física Educativa,INMEGEN
214,INMUJERES,El Instituto Nacional de las Mujeres es la entidad del gobierno federal que...
215,INNN,Instituto Nacional de Neurología y Neurocirugía Manuel Velasco Suárez
216,INP,Instituto Nacional de Pediatría
217,inper,Instituto Nacional de Perinatología
218,INPI,La CDI es una institución orientadora de las políticas públicas para el...
219,INPRF,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz
220,INR,Instituto Nacional de Rehabilitación 
221,INSABI,Instituto de salud para el Bienestar
222,INSP,Somos una institución académica cuyo compromiso central con la sociedad...
223,Instituto Mora,El Instituto Mora es reconocido en el mundo académico nacional e...
224,INSUS,Instituto Nacional del Suelo Sustentable
225,IPAB,"Garantizar los depósitos bancarios, principalmente de los pequeños y medianos..."
226,IPICYT,"Instituto Potosino de Investigación Científica y Tecnológica, A.C."
227,IPN,Instituto Politécnico Nacional
228,ISSFAM,Instituto de Seguridad Social para las Fuerzas Armadas Mexicanas
229,ISSSTE,JFCA
230,Junta Federal de Conciliación y Arbitraje,LICONSA
231,LOTENAL,MEJOREDU
232,Comisión Nacional para la Mejora Continua de la Educación ,NAFIN
233,Nacional Financiera Banca de Desarrollo tiene como objetivo ampliar el acceso...,Notimex
234,"Organismo descentralizado de la Administración Pública Federal, no...",OADPRS
235,Otras,PEMEX
236,"Desarrolla toda la cadena productiva de los hidrocarburos: exploración,...",PGR
237,La Procuraduría General de la República es el órgano del poder Ejecutivo...,Presidencia
238,Procuraduría Agraria,Procuraduría Federal de Protección al Ambiente
239,Procurar la justicia ambiental mediante la aplicación y cumplimiento de la...,PRODECON
240,PROFECO,Procuraduría Federal del Consumidor
241,PROFEDET,Procuraduría Federal de la Defensa del Trabajo
242,PROMEXICO,ProMéxico es el organismo del gobierno federal encargado de coordinar las...
243,PROMTEL,Organismo promotor de inversiones en telecomunicaciones
244,PRONABIVE,PRONOSTICOS
245,Pronósticos para la Asistencia Pública es la institución responsable de...,PROSPERA
246,El programa de Inclusión Social PROSPERA tiene como objetivo contribuir a...,RAN
247,Registro Agrario Nacional - Catastro Rural,RE
248,Radio Educación,SAE
249,El Instituto para Devolver al Pueblo lo Robado (INDEP) es un Organismo...,SALUD
250,La Secretaría de Salud es la dependencia del Poder Ejecutivo que se encarga...,SAP
251,Servicio de Atención Psiquiátrica ,SAT
252,SCJN,Suprema Corte de Justicia de la Nación
253,SCT,"Promover sistemas de transporte y comunicaciones seguros, eficientes y..."
